| end of split  55 /100 | epoch   1 | time: 999.47s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  56 /100 | epoch   1 | time: 979.38s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  57 /100 | epoch   1 | time: 978.81s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  58 /100 | epoch   1 | time: 979.86s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  59 /100 | epoch   1 | time: 978.15s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  60 /100 | epoch   1 | time: 982.63s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  61 /100 | epoch   1 | time: 978.83s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  62 /100 | epoch   1 | time: 979.78s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  63 /100 | epoch   1 | time: 979.32s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  64 /100 | epoch   1 | time: 977.43s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  65 /100 | epoch   1 | time: 979.21s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  66 /100 | epoch   1 | time: 979.66s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  67 /100 | epoch   1 | time: 978.82s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  68 /100 | epoch   1 | time: 978.04s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  69 /100 | epoch   1 | time: 987.56s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  70 /100 | epoch   1 | time: 979.17s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  71 /100 | epoch   1 | time: 978.38s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  72 /100 | epoch   1 | time: 1006.31s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  73 /100 | epoch   1 | time: 977.45s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  74 /100 | epoch   1 | time: 978.81s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  75 /100 | epoch   1 | time: 976.73s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  76 /100 | epoch   1 | time: 978.02s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  77 /100 | epoch   1 | time: 977.62s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  78 /100 | epoch   1 | time: 981.56s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  79 /100 | epoch   1 | time: 989.32s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  80 /100 | epoch   1 | time: 1009.79s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  81 /100 | epoch   1 | time: 988.10s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  82 /100 | epoch   1 | time: 978.98s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  83 /100 | epoch   1 | time: 979.19s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  84 /100 | epoch   1 | time: 979.01s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  85 /100 | epoch   1 | time: 153.72s | valid loss  1.17 | valid ppl     3.24 | learning rate 20.00
| end of split  86 /100 | epoch   1 | time: 978.82s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  87 /100 | epoch   1 | time: 977.34s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  88 /100 | epoch   1 | time: 980.65s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  89 /100 | epoch   1 | time: 979.39s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
