| end of split   9 /100 | epoch   1 | time: 118.64s | valid loss  3.48 | valid ppl    32.58 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 117.67s | valid loss  3.39 | valid ppl    29.59 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 117.55s | valid loss  3.52 | valid ppl    33.63 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 117.25s | valid loss  3.06 | valid ppl    21.42 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 118.07s | valid loss  3.19 | valid ppl    24.25 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 117.63s | valid loss  3.47 | valid ppl    32.27 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 117.94s | valid loss  3.03 | valid ppl    20.80 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 117.21s | valid loss  3.47 | valid ppl    32.14 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 117.25s | valid loss  3.10 | valid ppl    22.15 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 117.98s | valid loss  3.52 | valid ppl    33.65 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 117.58s | valid loss  3.11 | valid ppl    22.44 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 117.63s | valid loss  3.05 | valid ppl    21.10 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 117.16s | valid loss  3.16 | valid ppl    23.52 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 117.06s | valid loss  3.09 | valid ppl    22.07 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 117.56s | valid loss  3.40 | valid ppl    29.94 | learning rate 20.00
| end of split  24 /100 | epoch   1 | time: 118.26s | valid loss  3.33 | valid ppl    27.86 | learning rate 20.00
| end of split  25 /100 | epoch   1 | time: 117.82s | valid loss  3.28 | valid ppl    26.52 | learning rate 20.00
| end of split  26 /100 | epoch   1 | time: 117.84s | valid loss  3.43 | valid ppl    30.99 | learning rate 20.00
| end of split  27 /100 | epoch   1 | time: 117.64s | valid loss  3.01 | valid ppl    20.33 | learning rate 5.00
| end of split  28 /100 | epoch   1 | time: 118.26s | valid loss  2.99 | valid ppl    19.97 | learning rate 5.00
| end of split  29 /100 | epoch   1 | time: 117.89s | valid loss  2.99 | valid ppl    19.86 | learning rate 5.00
| end of split  30 /100 | epoch   1 | time: 118.60s | valid loss  3.15 | valid ppl    23.38 | learning rate 5.00
| end of split  31 /100 | epoch   1 | time: 117.98s | valid loss  2.98 | valid ppl    19.74 | learning rate 5.00
| end of split  32 /100 | epoch   1 | time: 118.29s | valid loss  2.99 | valid ppl    19.81 | learning rate 5.00
| end of split  33 /100 | epoch   1 | time: 117.57s | valid loss  2.94 | valid ppl    18.96 | learning rate 5.00
| end of split  34 /100 | epoch   1 | time: 118.27s | valid loss  2.98 | valid ppl    19.69 | learning rate 5.00
| end of split  35 /100 | epoch   1 | time: 117.70s | valid loss  2.96 | valid ppl    19.30 | learning rate 5.00
| end of split  36 /100 | epoch   1 | time: 117.41s | valid loss  2.96 | valid ppl    19.29 | learning rate 5.00
| end of split  37 /100 | epoch   1 | time: 117.83s | valid loss  2.96 | valid ppl    19.29 | learning rate 5.00
